part number,configuration,bar thickness,bar width,bar length,hole pattern,hole size,material,pigtail code,pigtail length
EGBA14324DGT,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,D,1/2 in,Tinned Copper,-,-
EGBA14324EC,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,E,3/8 in,Copper,-,-
EGBA14324GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,G,7/16 in,Copper,-,-
EGBA14324LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,L,7/16 in,Copper,-,-
EGBA14324LLT,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,L,7/16 in,Tinned Copper,-,-
EGBA14324NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,N,No Hole Pattern,Copper,-,-
EGBA14424AA,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,A,7/16 in,Copper,-,-
EGBA14424AAT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,A,7/16 in,Tinned Copper,-,-
EGBA14424BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,B,7/16 in,Copper,-,-
EGBA14424BBT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,B,7/16 in,Tinned Copper,-,-
EGBA14424BC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,B,9/16 in,Copper,-,-
EGBA14424BD,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,B,3/8 in,Copper,-,-
EGBA14424BFT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,B,1/4 in,Tinned Copper,-,-
EGBA14424CA,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,C,5/8 in,Copper,-,-
EGBA14424CB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,C,9/16 in,Copper,-,-
EGBA14424CBT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,C,9/16 in,Tinned Copper,-,-
EGBA14424CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,C,7/16 in,Tinned Copper,-,-
EGBA14424DD,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,D,7/16 in,Copper,-,-
EGBA14424DDT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,D,7/16 in,Tinned Copper,-,-
EGBA14424EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,E,7/16 in,Copper,-,-
EGBA14424GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,G,7/16 in,Copper,-,-
EGBA14424GGT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,G,7/16 in,Tinned Copper,-,-
EGBA14424JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,J,7/16 in,Copper,-,-
EGBA14424JJT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,J,7/16 in,Tinned Copper,-,-
EGBA14424KK,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,K,7/16 in,Copper,-,-
EGBA14424LLT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,L,7/16 in,Tinned Copper,-,-
EGBA14424MM,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,M,7/16 in,Copper,-,-
EGBA14424MMT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,M,7/16 in,Tinned Copper,-,-
EGBA14424NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,N,No Hole Pattern,Copper,-,-
EGBA14424NNT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,N,No Hole Pattern,Tinned Copper,-,-
EGBA14424QQ,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,Q,7/16 in,Copper,-,-
EGBA14424QQT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,Q,7/16 in,Tinned Copper,-,-
EGBA14424RR,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,R,7/16 in,Copper,-,-
EGBA14424RRT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,R,7/16 in,Tinned Copper,-,-
EGBA14824DG,"(A) Busbar, Insulators and Brackets",14 - 1/4,8,24,D,1/2 in,Copper,-,-
EGBA14824LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,8,24,L,7/16 in,Copper,-,-
EGBA14824MM,"(A) Busbar, Insulators and Brackets",14 - 1/4,8,24,M,7/16 in,Copper,-,-
EGBA14824NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,8,24,N,No Hole Pattern,Copper,-,-
EGBA38424BB,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,24,B,7/16 in,Copper,-,-
EGBA38424CC,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,24,C,7/16 in,Copper,-,-
EGBA38424DD,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,24,D,7/16 in,Copper,-,-
EGBA38624CC,"(A) Busbar, Insulators and Brackets",38 - 3/8,6,24,C,7/16 in,Copper,-,-
EGBA38624LL,"(A) Busbar, Insulators and Brackets",38 - 3/8,6,24,L,7/16 in,Copper,-,-
